id,Name,Notes,operating_locations,descriptive_name,entity_type_past,established_date,activity_focus,current_status,Infrastructure,Transactions,Discursive_Oil,Role,Actions_Timeline,is_part_of,concessions_grantee,concessions_granter
34,Impresa Finocchiaro,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Opere Civili,unkown,,,,,Building Bizerte refinery,,,
35,Societé Colas,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Opere Civili,unkown,,,,,Building Bizerte refinery,,,
36,Entreprise STOLL,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Opere Civili,unkown,,,,,Building Bizerte refinery,,,
37,Entreprise Moragia,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Costruzioni metalliche e montaggi,unkown,,,,,Building Bizerte refinery,,,
38,Ateliers Durafour,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Costruzioni metalliche e montaggi,unkown,,,,,Building Bizerte refinery,,,
39,Soc. Gen. Ind. Constructions Metalliques,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Costruzioni metalliche e montaggiNaN,unkown,,,,,Building Bizerte refinery,,,
40,Establissement Luparello,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Costruzioni metalliche e montaggiNaN,unkown,,,,,Building Bizerte refinery,,,
41,Chauffour Dumez,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Costruzioni metalliche e montaggiNaN,unkown,,,,,Building Bizerte refinery,,,
42,Etablissement Cohar,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Costruzioni metalliche e montaggiNaN,unkown,,,,,Building Bizerte refinery,,,
43,Domenico Avona,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Costruzioni metalliche e montaggi (a struttura artigianale),unkown,,,,,Building Bizerte refinery,,,
44,Messina A.,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Costruzioni metalliche e montaggi (a struttura artigianale),unkown,,,,,Building Bizerte refinery,,,
45,Ditta Sciara V. & G.,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Costruzioni metalliche e montaggi (a struttura artigianale),unkown,,,,,Building Bizerte refinery,,,
46,Bruccoleri,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Costruzioni metalliche e montaggi (a struttura artigianale),unkown,,,,,Building Bizerte refinery,,,
47,Comp. Gen. Entreprise Electrique,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Montaggi eletttrici,unkown,,,,,Building Bizerte refinery,,,
48,Ets Camilleri,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Montaggi eletttrici,unkown,,,,,Building Bizerte refinery,,,
49,Ets Constantin,Considered potential subcontractor for the building of the refinery,Tunisia,,"private company,potential subcontractor",,Montaggi eletttrici,unkown,,,,,Building Bizerte refinery,,,
50,Italian embassy in Tunisia,,Tunisia,,institution,,,active,,,Italy positioning itself as ENI during decolonization,,,Italian Government,,
51,French Government,,France,,institution,,,active,,Agreement Edjeleh-Gabes oil transportation,,,,,,
52,CFP-Total,Initially only CFP. It becomes CFP-Total in 1985 and Total in 1991,Algeria,Compagnie Française de Pétrole,state-owned,28/03/1924,Primary French national oil company,merged,,CFP-Total Contract with Algeria,,,,,,
53,S.N. REPAL,Disappeared in 1972,Algeria,Société Nationale de Recherche et  d'Exploitation du Pétrole en Algérie,joint venture,16/11/1946,Exploration & Exploitation,inactive,Hassi R'Mel,,,,,,,
54,OPEC,,Internationally,Petroleum Exporting Countries,international organization,01/09/1960,Enabling the co-operation of leading oil-producing and oil-dependent countries in order to collectively influence the global oil market and maximize profit,active,,,,,,,,
55,OAPEC,,"Kuwait,Libya,Tunisia,Algeria,Internationally",Organization of Arab Petroleum Exporting Countries,international organization,09/01/1968,Multi-governmental organization coordinating energy policies among oil-producing Arab states,active,,,,,,,,
56,ASCOOP,,Algeria,,joint venture,29/07/1965,"It created a partnership between the Algerian state hydrocarbon enterprise, SONATRACH, and a French equivalent for both exploration and exploitation purposes.",,,French-Algerian Oil & Gas Treaty,,,,,,
57,Algerian Government,,Algeria,,institution,01/06/1962,,active,,,,,,,,
58,Minister of Foreign Affairs,,Italy,,institution,,,,,,,Foreign Minister,,Algerian Government,,
59,SONATRACH,"12th largest oil consortium in the world, with 154 subsidiaries operating over the entire oil value-chain from upstream, to midstream, and downstream activities",Algeria,"Société Nationale pour la Recherche, la Production, le Transport, la Transformation, et la Commercialisation des Hydrocarbures",state-owned,01/12/1963,"Oil (fuels, lubricants)
Natural Gas (LNG)
Petrochemicals",active,"Beni Mansour - Algiers,Hassi Messaoud - field,TransMed (1) G01,TransMed (2) G02,TransMed (3) G03,TransMed (4),Haoud El Hamra - Béjaïa,In Amenas - Skhirra,Arzew - Haoud El Hamra (OZ1),Arzew - Haoud El Hamra (OZ2),Skikda - Haoud El Hamra,Mesdar - Haoud El Hamra,Mesdar - El Borma,In Amenas - Haoud El Hamra",French-Algerian Oil & Gas Treaty,,,"Beni Mansour - Algiers Operating,Haoud El Hamra - Bejàïa Beginning,Haoudh El Hamra-Arzew Oil Pipeline I (OZ1) Construction,Haoudh El Hamra-Arzew Oil Pipeline (OZ2) Construction,Skikda-Haoud El Hamra Construction,Haoud El Hamra - Mesdar Pipeline Construction,Mesdar - El Borma Pipeline Construction,In Amenas - Haoud El Hamra Pipeline Construction",Algerian Government,,
60,SOPEFAL,"It remained active until the 1971 nationalization by the Algerian government, after which its assets were taken over",Algeria,Societé Petrolière Francaise Algerie,state-owned,01/01/1965,"French representative in ASCOOP, sharing control equally with SONATRAC",inactive,,,,,,French Government,,
61,Total-Algérie,This marked the formal end of CFP(A) (Compagnie Française des Pétroles Algérie) and the beginning of Total-Algerie’s operations.,Algeria,Total - Algeria,subsidiary,30/05/1971,Legal subsidiary established specifically to own the 49% equity stake in ALREP,active,,CFP-Total Contract with Algeria,,,,CFP-Total,,
62,ALREP,,Algeria,,joint venture,01/03/1971,Most likely refining/petrochemical firm,inactive,,CFP-Total Contract with Algeria,,,,,,
63,Sahara Comfort,"Catering, logistics, motel management",Tunisia,,private company,,Food supply and services,inactive,"El Borma,AGIP Motel & Station",,,,,,,
64,STEG,,Tunisia,Société tunisienne de l'électricité et du gaz,state-owned,03/04/1962,the production and distribution of electricity and natural gas on the Tunisian territory,active,"El Borma,El Borma-Gabès",,,,Gas Pipeline El Borma-Gabès Start Year,Tunisian Government,,
65,Kilani Construction Firm,Relevant for El Borma,Tunisia,,private company,,construction and maintenance of roads and tracks,unkown,El Borma,,,,,,,
