id,Name,Notes,unique_identifier,nb,source_date,author,type_source,Transactions,Discursive_Oil,Actions_Timeline,Images
32,Pozzo Braemi 1 permesso Mazzarino  - Compagnia Siciliana Petroli + Racalmuto,,ENI_AGIP_RP_SR_B254_057,,21/01/1962,AGIP Mineraria,archival document,,,"Well Braemi 1 sterile and abandoned,CO.SI.P. renounces to Racalmuto",
33,Serept Website - Our History (1971-1964) Resumption of Activities,,https://www.serept.com.tn/En/our-history_7_193_D62,,08/07/2025,SEREPT,online website,Tunisie Centre Nord Exploration Convention,,,
34,Convention et Cahier des Charges pour le permis du Centre Nord Tunisien,,RCT_G_ocds-591adf-3149266819,found online,05/06/1964,SEREPT,archival document,Tunisie Centre Nord Exploration Convention,,,
35,Secrets of Hydrocarbon Contracts in Tunisia,,Unique Identifier - ON_TAPC_20-107-9,found online,01/01/2019,The Tunisian Association of Public Controllers,report,"Decree n.51 for Douleb,Decree n.16 for Semama,Decree n.3 for Tamesmida,Sidi Litaiem JORT Decree n.35,Sidi Bahara JORT Decree n.35,Decree 4581-2014 for illicit extension Sidi Bahara & Litaiem,Jort n.44 - Sanhar,Jort n.87 - Djebel Grouz,JORT n.6,JORT n.52,JORT n.55,Jort n.43 Jinane,Jort n.6 Chouech Essaida",,"Exploration DST - Douleb,Exploration DST - Tamesmida,Production DST - Douleb,Production DST - Semmama,Production DST - Tamesmida,Production - Sidi Litaiem,Sidi Baharat - Exploration Started,Sidi Baharat & Litaiem Illicit Extension of permit,Discovery Makhrouga,Beginning of production - Makhrouga,Production - Debbech,Start of Production - Oued Zar,Jinane Establishment",
36,Concessions d'exploitation d'hydrocarbures en Tunisie à fin 2022. Nombre de concessions: 56,,ON_EMG_2022,found online,31/12/2022,,report,"Djbel Tamesmida Décret-loi 2022-40 du 17/06/2022,Djbel Douleb Décret-loi 2022-42 du 17 juin 2022,Oued Zar  Décret-loi n° 2022-59 du 27 Septembre 2022,JORT n. 130 - 29/11/2022,Jenein Nord  Loi n° 96-106 du 09/12/96,Jort n.43 Jinane,Jenein Nord  Loi n° 96-106 du 09/12/1996,Jenein Sud  Décret n° 2004-1105 du  13/05/2004",,"Extension DST - Douleb,Extension DST - Tamesmima,Chouech Essaida Production under ENI",
37,Convention Permis Sfax-Kerkennah,,RCT_CSTC_ocds-591adf-9611382739,,27/02/1969,CFTP,archival document,Sfax Kerkennah Concession,,,
38,,,,,,,,,,,
39,Theodora_Oil&Gas_Pipelines,https://theodora.com/pipelines/north_africa_oil_gas_products_pipelines_map.html#map,online_theodora_oil&gas,,03/03/2017,,online website,,,Construction pipeline Hassi Messaoud - Ohanet,
40,,,,,,,,,,,
41,Dossier Image,,,,,,,,,,
42,ETAP Concession Map,,https://www.etap.com.tn/exploration-production/Exploration-Licences/Licences-Map,,11/05/2026,,online website,"DJEBEL GROUZ Décret loi 2022-41 du 17/06/2022,PERMIS DU SUD Loi n° 60-12 du 26/07/1960,Jenein Sud  Décret n° 2004-1105 du  13/05/2004,Jort n.70 Banafsej Sud,JORT n.95 Aziza,JORT n.84 Shalbia",,Establishment Banafsej Sud,
43,Mappa campo di El Borma per livelli,,AGIP_RP_MIS_B41_022,,31/03/1966,,archival document,,,,Valutazione delle riserve al 31-3-1966
44,Mappa Geological Campo di El Borma,,AGIP_RP_MIS_B41_019,,,,archival image,,,,Campo di El Borma: Sezione Geologica nel Pool Petrolifero
